,,,,
,,,,
"Estadio","Inauguración","Aforo","Equipo","Ciudad"
"Príncipe Felipe",1977,7000,"CP Cacereño","Cáceres"
"Estadio Pepe Ortíz (Mareo)",1995,7000,"Real Sporting de Gijón ""B""","Gijón"
"Nou Sardenya",1995,7000,"CE Europa","Barcelona"
"La Magdalena",1949,7000,"Novelda CF","Novelda"
"El Maulí",1981,7000,"Antequera CF","Antequera"
"Ciudad Deportiva de Lanzarote",1968,7000,"CD Orientación Marítima y UD Lanzarote","Arrecife"
"Estadi de la Feixa Llarga",1999,6740,"CE L´Hospitalet","Hospitalet de Llobregat"
"Narcís Sala",1970,6550,"UE Sant Andreu","Barcelona"
"La Albuera",1977,6500,"Gimnástica Segoviana CF","Segovia"
"Compostilla","NULL",6023,"SD Ponferradina ""B""","Ponferrada"
"Nuevo Malecón",1922,6007,"RS Gimnástica de Torrelavega","Torrelavega"
"Pedro Escartín",1967,6000,"CD Guadalajara","Guadalajara"
"Los Arcos",1945,6000,"Orihuela CF","Orihuela"
"Foietes",1964,6000,"Benidorm CF","Benidorm"
"Guillermo Olagüe",1967,6000,"CF Gandía","Gandía"
"Vicente García",1971,6000,"FC Torrevieja","Torrevieja"
"Romero Cuerda",1992,6000,"CF Villanovense","Villanueva de la Serena"
"Vicente Sanz",1957,6000,"CD Don Benito","Don Benito"
"San Pablo",1986,6000,"Écija Balompié","Ecija"
"Municipal de Lucena",1972,6000,"C.D.C. Lucena","Lucena"
"Nuevo San Bartolomé",1982,6000,"CD Mairena","Mairena del Alcor"
"Guadalquivir",1923,6000,"Coria CF","Coria del Río"
"Sancho Dávila",1931,6000,"Puerto Real CF","Puerto Real"
"Estadio Municipal de Loinaz",1959,6000,"SD Beasain","Beasain"
"La Planilla",1946,6000,"CD Calahorra","Calahorra"
"Nou Municipal de Palamós",1989,6000,"Palamós CF y UE Llagostera","Palamós"
"Ciutat Esportiva Dani Jarque",2001,6000,"RCD Español ""B""","San Adrián de Besós"
"Ciudad Real Madrid",2005,6000,"Real Madrid ""C""","Madrid"
"Anduva",1950,6000,"CD Mirandés","Miranda de Ebro"
"El Montecillo",1977,6000,"Arandina CF","Aranda de Duero"
"Adolfo Suárez",1976,6000,"Real Ávila CF","Ávila"
"Alberto Fernández",1968,6000,"CD Aguilar","Aguilar de Campoo"
"Nuevo Silvestre Carrillo","NULL",5000,"CD Mensajero","Santa Cruz de La Palma"
"El Alcoraz",1972,5700,"SD Huesca","Huesca"
"O Couto",1974,5625,"Unión Deportiva Ourense y Ourense CF","Orense"
