"Nuevo San Bartolomé",1982,6000,"Mairena del Alcor"
"Guadalquivir",1923,6000,"Coria del Río"
"Sancho Dávila",1931,6000,"Puerto Real"
"Estadio Municipal de Loinaz",1959,6000,"Beasain"
"La Planilla",1946,6000,"Calahorra"
"Nou Municipal de Palamós",1989,6000,"Palamós"
"Ciutat Esportiva Dani Jarque",2001,6000,"San Adrián de Besós"
"Ciudad Real Madrid",2005,6000,"Madrid"
"Anduva",1950,6000,"Miranda de Ebro"
"El Montecillo",1977,6000,"Aranda de Duero"
"Adolfo Suárez",1976,6000,"Ávila"
"Alberto Fernández",1968,6000,"Aguilar de Campoo"
"Nuevo Silvestre Carrillo","NULL",5000,"Santa Cruz de La Palma"
"El Alcoraz",1972,5700,"Huesca"
"O Couto",1974,5625,"Orense"
"Los Corrales","NULL",5500,"Los Corrales de Buelna"
"Ciudad Deportiva Plasencia","NULL",5500,"Plasencia"
"Chamorro Martínez",1970,5500,"Martos"
"Virgen de las Nieves",2001,6000,"Santa Cruz de la Palma"
"Polideportivo Municipal",1976,5500,"Almansa"
"Nuestra Señora de la Caridad",1958,5500,"Villarrobledo"
"Nuevo Román Suárez Puerta",1999,5500,"Avilés"
"Salto del Caballo",1973,5300,"Toledo"
"Ciudad de Ayamonte",2007,5200,"Ayamonte"
"Ciudad Deportiva del Villarreal CF",2002,5100,"Villarreal"
"Estadio Municipal de Montilla",1981,5000,"Montilla"
"La Juventud",2001,5000,"Jerez de la Frontera"
"El Clariano",1951,5000,"Onteniente"
"Camp Nou Municipal",1978,5000,"Reus"
"Miramar",1952,5000,"Luanco"
"Municipal de Alcázar","NULL",5000,"Alcázar de San Juan"
"Stadium Gal",1926,5000,"Irún"
"Nou Municipal",1994,5000,"Santa Coloma de Gramanet"
"La Bòbila",1995,5000,"Gavá"
"Pinilla",1957,5000,"Teruel"
"Como Eiroas","NULL",5000,"Carballo"
"Estadio Baltar","NULL",5000,"Portonovo"
"Orellana","NULL",5000,"Ribadesella"
"Artunduaga",2007,5000,"Basauri"
"Gazituaga","NULL",5000,"Zamudio"
"Mundial 82",1984,5000,"Catarroja"
"La Aldehuela","NULL",5000,"Fuenlabrada"
"Escribano Castilla",1970,5000,"Motril"
"El Palmar",1948,5000,"Sanlúcar de Barrameda"
"Municipal","NULL",5000,"Tazacorte"
